"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
20336,2003,"West Linn",45.36116,-122.6399,"97068",3,3,"9/1/2019","8/13/2020",347,"SINGLE_FAMILY",676500,3013,6969,676500,671000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.8,"Primary","7",0.7,"Middle","8",1.5,"High","9","above"
20337,1910,"West Linn",45.35822,-122.6253,"97068",3,4,"12/1/2019","11/12/2020",347,"SINGLE_FAMILY",550000,3080,10018,550000,1995,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.2,"Primary","7",1.6,"Middle","8",0.7,"High","9","below"
20340,2012,"West Linn",45.3464,-122.668,"97068",3,4,"8/20/2019","8/7/2020",353,"SINGLE_FAMILY",555000,2363,4356,555000,565000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,2.9,"Primary","10",3.1,"Middle","6",3.4,"High","9","above"
20341,1981,"West Linn",45.35992,-122.6541,"97068",4,5,"8/16/2019","8/5/2020",355,"SINGLE_FAMILY",1147500,5470,2,1147500,463000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.9,"Primary","7",0.7,"Middle","8",2.4,"High","9","above"
20342,1991,"West Linn",45.3594,-122.6544,"97068",2.5,4,"8/16/2019","8/5/2020",355,"SINGLE_FAMILY",950000,3267,68539,950000,380000,1.08,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Primary","7",0.7,"Middle","8",2.4,"High","9","above"
20344,2004,"West Linn",45.36536,-122.6397,"97068",3,4,"8/14/2019","8/4/2020",356,"SINGLE_FAMILY",755000,3583,6969,755000,739900,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.8,"Primary","7",0.6,"Middle","8",1.5,"High","9","above"
20346,1985,"West Linn",45.3688,-122.6264,"97068",4,4,"8/14/2019","8/4/2020",356,"SINGLE_FAMILY",560000,2950,12196,560000,560000,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.5,"Primary","6",1.4,"Middle","8",0.7,"High","9","above"
20347,1991,"West Linn",45.37139,-122.6317,"97068",3,3,"8/6/2019","7/31/2020",360,"SINGLE_FAMILY",629000,2925,12196,629000,625000,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.8,"Primary","6",1,"Middle","8",1.1,"High","9","above"
20349,1993,"West Linn",45.34111,-122.659,"97068",4,4,"8/6/2019","7/31/2020",360,"SINGLE_FAMILY",8e+05,3931,8276,8e+05,799900,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,"Primary","5",3.7,"Middle","6",3,"High","9","above"
20350,2003,"Oregon City",45.32349,-122.6196,"97045",2,4,"7/31/2019","7/28/2020",363,"SINGLE_FAMILY",490000,1979,10018,490000,499990,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.6,"Elementary","7",1.5,"Middle","5",3.7,"High","8","below"
20351,1996,"West Linn",45.36205,-122.6461,"97068",2.5,3,"8/6/2019","7/31/2020",360,"SINGLE_FAMILY",695000,3268,6635,695000,565000,1.08,FALSE,TRUE,FALSE,TRUE,FALSE,1.2,"Primary","7",0.5,"Middle","8",1.9,"High","9","above"
20354,1990,"West Linn",45.35249,-122.6491,"97068",3,4,"8/4/2019","7/30/2020",361,"SINGLE_FAMILY",665000,4166,15681,665000,685000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.6,"Primary","5",3.9,"Middle","6",2.2,"High","9","above"
20355,1979,"West Linn",45.37137,-122.6254,"97068",2,4,"7/31/2019","7/28/2020",363,"SINGLE_FAMILY",464900,2025,4791,464900,464900,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,"Primary","6",1.4,"Middle","8",0.7,"High","9","below"
20356,1983,"Oregon City",45.32656,-122.6296,"97045",2,3,"8/4/2019","7/30/2020",361,"SINGLE_FAMILY",475000,1400,26136,475000,469000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"Elementary","7",2,"Middle","5",4.4,"High","8","below"
20358,1994,"Oregon City",45.32807,-122.619,"97045",2,3,"8/18/2019","8/6/2020",354,"SINGLE_FAMILY",434000,1752,8276,434000,434000,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.6,"Elementary","7",1.3,"Middle","5",3.7,"High","8","below"
20360,1998,"Oregon City",45.32726,-122.6268,"97045",2,3,"10/27/2019","9/10/2020",319,"SINGLE_FAMILY",450000,1758,8008,450000,310000,1.08,TRUE,FALSE,FALSE,TRUE,FALSE,0.1,"Elementary","7",1.8,"Middle","5",4.2,"High","8","below"
20361,1999,"Oregon City",45.32339,-122.6284,"97045",2,3,"10/27/2019","9/10/2020",319,"SINGLE_FAMILY",452000,1547,9583,452000,430000,1.08,TRUE,FALSE,FALSE,TRUE,FALSE,0.3,"Elementary","7",2,"Middle","5",4.3,"High","8","below"
20362,2017,"Happy Valley",45.45041,-122.4878,"97086",3,4,"12/22/2019","10/8/2020",291,"SINGLE_FAMILY",559950,2633,3920,559950,559950,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,1,"Elementary","6",3.3,"Middle","6",2.9,"High","5","above"
20363,1975,"Gladstone",45.39423,-122.5945,"97027",3,5,"5/6/2020","12/15/2020",223,"SINGLE_FAMILY",490000,1892,11402,490000,151550,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.8,"Elementary","4",0.5,"Middle","3",0.5,"High","6","below"
20364,1998,"Portland",45.44355,-122.5241,"97086",3,4,"1/29/2020","10/27/2020",272,"SINGLE_FAMILY",474000,2230,6969,474000,474900,1.08,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","8",0.5,"Middle","7",1.7,"High","8","below"
